VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_TANGENT0.x,in_TANGENT0.y,in_TANGENT0.z,in_TANGENT0.w,in_COLOR0.x,in_COLOR0.y,in_COLOR0.z,in_COLOR0.w,in_TEXCOORD0.x,in_TEXCOORD0.y,in_TEXCOORD1.x,in_TEXCOORD1.y,in_TEXCOORD2.x,in_TEXCOORD2.y
14,2114,149.49795532226562,-41.2630729675293,69.8372573852539,0.0002740323543548584,0.0,35.8791389465332,1.982475996017456,1.0,0.17254901960784313,0.050980392156862744,1.0,1.0,0.0,1.0,0.0,1.0,0.0
15,2112,149.4944305419922,-41.28556823730469,69.8333511352539,37.73689270019531,1.8217343091964722,31.22178840637207,-2.983125924060914e-08,1.0,0.17254901960784313,0.050980392156862744,1.0,0.0,1.0,0.0,1.0,0.0,1.0
16,2114,149.49795532226562,-41.2630729675293,69.8372573852539,0.0002740323543548584,0.0,35.8791389465332,1.982475996017456,1.0,0.17254901960784313,0.050980392156862744,1.0,1.0,0.0,1.0,0.0,1.0,0.0
17,2115,149.4983367919922,-41.285499572753906,69.83733367919922,-2.5203926152772946e+38,1.0,0.0,1.0,1.0,0.17254901960784313,0.050980392156862744,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2116,146.5476837158203,-49.750572204589844,68.40494537353516,0.0,36.13682174682617,1.0306073427200317,30.58721160888672,1.0,0.0784313725490196,0.0392156862745098,1.0,0.0,1.0,0.0,1.0,0.0,1.0
19,2117,146.54762268066406,-49.72742462158203,68.40496826171875,1.0,1.0,1.0,1.0,1.0,0.0784313725490196,0.0392156862745098,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20,2118,146.5517120361328,-49.72740936279297,68.4090576171875,37.2617073059082,1.248656153678894,30.724523544311523,0.19112779200077057,1.0,0.0784313725490196,0.0392156862745098,1.0,1.0,0.0,1.0,0.0,1.0,0.0
21,2116,146.5476837158203,-49.750572204589844,68.40494537353516,0.0,36.13682174682617,1.0306073427200317,30.58721160888672,1.0,0.0784313725490196,0.0392156862745098,1.0,0.0,1.0,0.0,1.0,0.0,1.0
22,2118,146.5517120361328,-49.72740936279297,68.4090576171875,37.2617073059082,1.248656153678894,30.724523544311523,0.19112779200077057,1.0,0.0784313725490196,0.0392156862745098,1.0,1.0,0.0,1.0,0.0,1.0,0.0
23,2119,146.55177307128906,-49.75055694580078,68.4090347290039,1.0,0.0,1.0,-1.6181804550142206e+29,1.0,0.0784313725490196,0.0392156862745098,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2120,146.1796875,-35.67881774902344,68.66341400146484,2.2005248069763184,31.32394790649414,0.19112780690193176,0.5594762563705444,1.0,0.17647058823529413,0.050980392156862744,1.0,0.0,1.0,0.0,1.0,0.0,1.0
25,2121,146.1795196533203,-35.65447998046875,68.66339111328125,0.0,0.0,-1.6181804550142206e+29,4.52002832652613e-41,1.0,0.17647058823529413,0.050980392156862744,1.0,1.0,1.0,1.0,1.0,1.0,1.0
26,2122,146.1837921142578,-35.654441833496094,68.66770935058594,31.186635971069336,0.19112785160541534,0.5594762563705444,-0.8062703609466553,1.0,0.17647058823529413,0.050980392156862744,1.0,1.0,0.0,1.0,0.0,1.0,0.0
27,2120,146.1796875,-35.67881774902344,68.66341400146484,2.2005248069763184,31.32394790649414,0.19112780690193176,0.5594762563705444,1.0,0.17647058823529413,0.050980392156862744,1.0,0.0,1.0,0.0,1.0,0.0,1.0
28,2122,146.1837921142578,-35.654441833496094,68.66770935058594,31.186635971069336,0.19112785160541534,0.5594762563705444,-0.8062703609466553,1.0,0.17647058823529413,0.050980392156862744,1.0,1.0,0.0,1.0,0.0,1.0,0.0
29,2123,146.1839599609375,-35.67877960205078,68.66773223876953,0.0,0.0,0.0,3.6016345049779405e+17,1.0,0.17647058823529413,0.050980392156862744,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2124,145.8108367919922,-8.428569793701172,70.2522964477539,1.3362445372422371e-08,0.0,1.0,36.90960693359375,1.0,0.4,0.06666666666666667,1.0,0.0,1.0,0.0,1.0,0.0,1.0
31,2125,145.8062744140625,-8.283648490905762,70.24710845947266,30.882596969604492,0.5063677430152893,0.8387248516082764,-0.16812953352928162,1.0,0.4,0.06666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0
32,2126,145.830810546875,-8.28200626373291,70.27361297607422,0.0,1.0,36.83174133300781,1.498691439628601,1.0,0.4,0.06666666666666667,1.0,1.0,0.0,1.0,0.0,1.0,0.0
33,2124,145.8108367919922,-8.428569793701172,70.2522964477539,1.3362445372422371e-08,0.0,1.0,36.90960693359375,1.0,0.4,0.06666666666666667,1.0,0.0,1.0,0.0,1.0,0.0,1.0
34,2126,145.830810546875,-8.28200626373291,70.27361297607422,0.0,1.0,36.83174133300781,1.498691439628601,1.0,0.4,0.06666666666666667,1.0,1.0,0.0,1.0,0.0,1.0,0.0
35,2127,145.8353729248047,-8.42692756652832,70.27880096435547,0.23958858847618103,0.9384257793426514,-0.24361713230609894,nan,1.0,0.4,0.06666666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0
