VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_TANGENT0.x,in_TANGENT0.y,in_TANGENT0.z,in_TANGENT0.w,in_COLOR0.x,in_COLOR0.y,in_COLOR0.z,in_COLOR0.w,in_TEXCOORD0.x,in_TEXCOORD0.y,in_TEXCOORD1.x,in_TEXCOORD1.y,in_TEXCOORD2.x,in_TEXCOORD2.y
0,1509,119.65916442871094,4.8760528564453125,46.62898254394531,537335680.0,0.0,1.0,124.88288879394531,0.3686274509803922,0.10980392156862745,0.0,0.3058823529411765,0.0,1.0,0.0,1.0,0.0,1.0
1,1510,124.88288879394531,4.8760528564453125,51.85270690917969,537335680.0,1.0,1.0,128.24063110351562,0.3686274509803922,0.10980392156862745,0.0,0.3058823529411765,1.0,1.0,1.0,1.0,1.0,1.0
2,1511,128.24063110351562,-0.7830703258514404,48.494964599609375,537335680.0,1.0,0.0,123.01690673828125,0.3686274509803922,0.10980392156862745,0.0,0.3058823529411765,1.0,0.0,1.0,0.0,1.0,0.0
3,1509,119.65916442871094,4.8760528564453125,46.62898254394531,537335680.0,0.0,1.0,124.88288879394531,0.3686274509803922,0.10980392156862745,0.0,0.3058823529411765,0.0,1.0,0.0,1.0,0.0,1.0
4,1511,128.24063110351562,-0.7830703258514404,48.494964599609375,537335680.0,1.0,0.0,123.01690673828125,0.3686274509803922,0.10980392156862745,0.0,0.3058823529411765,1.0,0.0,1.0,0.0,1.0,0.0
5,1512,123.01690673828125,-0.7830698490142822,43.271240234375,537335680.0,0.0,0.0,119.65916442871094,0.3686274509803922,0.10980392156862745,0.0,0.3058823529411765,0.0,0.0,0.0,0.0,0.0,0.0
