VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_TANGENT0.x,in_TANGENT0.y,in_TANGENT0.z,in_TANGENT0.w,in_COLOR0.x,in_COLOR0.y,in_COLOR0.z,in_COLOR0.w,in_TEXCOORD0.x,in_TEXCOORD0.y,in_TEXCOORD1.x,in_TEXCOORD1.y,in_TEXCOORD2.x,in_TEXCOORD2.y
0,1714,156.59738159179688,-2.15049409866333,69.24822998046875,0.0,0.0,193.73599243164062,7.320537567138672,1.0,0.4980392156862745,0.16862745098039217,0.8,0.0,1.0,0.0,1.0,0.0,1.0
1,1715,148.76731872558594,2.743393659591675,66.82283782958984,0.5,0.625,0.5,0.625,1.0,0.4980392156862745,0.16862745098039217,0.8,1.0,1.0,1.0,1.0,1.0,1.0
2,1716,150.63543701171875,9.126604080200195,73.67172241210938,7.394106864929199,55.42523956298828,0.0,-0.999875545501709,1.0,0.4980392156862745,0.16862745098039217,0.8,1.0,0.0,1.0,0.0,1.0,0.0
3,1714,156.59738159179688,-2.15049409866333,69.24822998046875,0.0,0.0,193.73599243164062,7.320537567138672,1.0,0.4980392156862745,0.16862745098039217,0.8,0.0,1.0,0.0,1.0,0.0,1.0
4,1716,150.63543701171875,9.126604080200195,73.67172241210938,7.394106864929199,55.42523956298828,0.0,-0.999875545501709,1.0,0.4980392156862745,0.16862745098039217,0.8,1.0,0.0,1.0,0.0,1.0,0.0
5,1717,158.4654998779297,4.232715606689453,76.09711456298828,0.75,0.0,-0.3016239404678345,0.0,1.0,0.4980392156862745,0.16862745098039217,0.8,0.0,0.0,0.0,0.0,0.0,0.0
