VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_COLOR0.x,in_COLOR0.y,in_COLOR0.z,in_COLOR0.w,in_TEXCOORD0.x,in_TEXCOORD0.y,in_TEXCOORD0.z,in_TEXCOORD0.w,in_TEXCOORD1.x,in_TEXCOORD1.y,in_TEXCOORD1.z,in_TEXCOORD1.w,in_TEXCOORD2.x,in_TEXCOORD2.y,in_TEXCOORD2.z,in_TEXCOORD2.w
0,130,181.82733154296875,10.778757095336914,48.517601013183594,0.0,0.0,0.0,0.01568627450980392,0.8333333730697632,0.16666661202907562,0.0,-1.4901161193847656e-08,0.0,0.0,-1.8270072787799026e+29,4.52002832652613e-41,0.0,0.0,0.9701504707336426,0.0
1,131,189.72109985351562,7.830448150634766,52.91270446777344,0.0,0.0,0.0,0.01568627450980392,1.0,0.16666661202907562,0.1666666716337204,-1.4901161193847656e-08,0.0,0.0,-1.8270072787799026e+29,4.52002832652613e-41,0.0,0.0,0.9701504707336426,0.0
2,132,190.94918823242188,1.173872470855713,46.241668701171875,0.0,0.0,0.0,0.01568627450980392,1.0,-5.960464477539063e-08,0.1666666716337204,-0.1666666865348816,0.0,0.0,-1.8270072787799026e+29,4.52002832652613e-41,0.0,0.0,0.9701504707336426,0.0
3,130,181.82733154296875,10.778757095336914,48.517601013183594,0.0,0.0,0.0,0.01568627450980392,0.8333333730697632,0.16666661202907562,0.0,-1.4901161193847656e-08,0.0,0.0,-1.8270072787799026e+29,4.52002832652613e-41,0.0,0.0,0.9701504707336426,0.0
4,132,190.94918823242188,1.173872470855713,46.241668701171875,0.0,0.0,0.0,0.01568627450980392,1.0,-5.960464477539063e-08,0.1666666716337204,-0.1666666865348816,0.0,0.0,-1.8270072787799026e+29,4.52002832652613e-41,0.0,0.0,0.9701504707336426,0.0
5,133,183.05543518066406,4.122180938720703,41.846561431884766,0.0,0.0,0.0,0.01568627450980392,0.8333333730697632,-5.960464477539063e-08,0.0,-0.1666666865348816,0.0,0.0,-1.8270072787799026e+29,4.52002832652613e-41,0.0,0.0,0.9701504707336426,0.0
6,134,181.65875244140625,7.143833160400391,46.806976318359375,0.0,0.0,0.0,0.16862745098039217,0.8333333730697632,0.3333333134651184,0.0,0.16666661202907562,0.5416752696037292,0.5416752696037292,0.5416752696037292,0.5416752696037292,0.0,0.0,0.7724394798278809,0.0
7,135,186.2759552001953,7.874953746795654,52.29177474975586,0.0,0.0,0.0,0.16862745098039217,1.0,0.3333333134651184,0.1666666716337204,0.16666661202907562,0.5416752696037292,0.5416752696037292,0.5416752696037292,0.5416752696037292,0.0,0.0,0.7724394798278809,0.0
8,136,190.19754028320312,2.4029507637023926,49.71992492675781,0.0,0.0,0.0,0.16862745098039217,1.0,0.16666662693023682,0.1666666716337204,-5.960464477539063e-08,0.5416752696037292,0.5416752696037292,0.5416752696037292,0.5416752696037292,0.0,0.0,0.7724394798278809,0.0
9,134,181.65875244140625,7.143833160400391,46.806976318359375,0.0,0.0,0.0,0.16862745098039217,0.8333333730697632,0.3333333134651184,0.0,0.16666661202907562,0.5416752696037292,0.5416752696037292,0.5416752696037292,0.5416752696037292,0.0,0.0,0.7724394798278809,0.0
