VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_COLOR0.x,in_COLOR0.y,in_COLOR0.z,in_COLOR0.w,in_TEXCOORD0.x,in_TEXCOORD0.y,in_TEXCOORD0.z,in_TEXCOORD0.w,in_TEXCOORD1.x,in_TEXCOORD1.y,in_TEXCOORD1.z,in_TEXCOORD1.w
0,1134,144.19338989257812,3.138310432434082,69.7352523803711,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.1843137254901961,0.0,1.0,0.0,1.0,225.724853515625,0.014479361474514008,0.012793424539268017,0.9500517249107361
1,1135,144.97705078125,3.138310432434082,70.5189208984375,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.1843137254901961,1.0,1.0,1.0,1.0,225.724853515625,0.014479361474514008,0.012793424539268017,0.9500517249107361
2,1136,145.48077392578125,2.2893285751342773,70.01519012451172,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.1843137254901961,1.0,0.0,1.0,0.0,225.724853515625,0.014479361474514008,0.012793424539268017,0.9500517249107361
3,1134,144.19338989257812,3.138310432434082,69.7352523803711,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.1843137254901961,0.0,1.0,0.0,1.0,225.724853515625,0.014479361474514008,0.012793424539268017,0.9500517249107361
4,1136,145.48077392578125,2.2893285751342773,70.01519012451172,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.1843137254901961,1.0,0.0,1.0,0.0,225.724853515625,0.014479361474514008,0.012793424539268017,0.9500517249107361
5,1137,144.69711303710938,2.2893285751342773,69.23152160644531,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.1843137254901961,0.0,0.0,0.0,0.0,225.724853515625,0.014479361474514008,0.012793424539268017,0.9500517249107361
6,1138,145.23452758789062,2.4637928009033203,69.49665832519531,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.0392156862745098,0.0,1.0,0.0,1.0,-104.67710876464844,0.002860067877918482,0.0004215362132526934,0.3317059278488159
7,1139,146.04409790039062,2.4637928009033203,70.30623626708984,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.0392156862745098,1.0,1.0,1.0,1.0,-104.67710876464844,0.002860067877918482,0.0004215362132526934,0.3317059278488159
8,1140,146.56448364257812,1.5867351293563843,69.78584289550781,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.0392156862745098,1.0,0.0,1.0,0.0,-104.67710876464844,0.002860067877918482,0.0004215362132526934,0.3317059278488159
9,1138,145.23452758789062,2.4637928009033203,69.49665832519531,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.0392156862745098,0.0,1.0,0.0,1.0,-104.67710876464844,0.002860067877918482,0.0004215362132526934,0.3317059278488159
10,1140,146.56448364257812,1.5867351293563843,69.78584289550781,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.0392156862745098,1.0,0.0,1.0,0.0,-104.67710876464844,0.002860067877918482,0.0004215362132526934,0.3317059278488159
11,1141,145.75491333007812,1.5867352485656738,68.97626495361328,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.0392156862745098,0.0,0.0,0.0,0.0,-104.67710876464844,0.002860067877918482,0.0004215362132526934,0.3317059278488159
12,1142,144.01132202148438,2.930774211883545,68.72643280029297,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.09803921568627451,0.0,1.0,0.0,1.0,-283.9485168457031,0.007801522966474295,0.003354331711307168,0.5974651575088501
13,1143,144.81405639648438,2.930774211883545,69.52916717529297,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.09803921568627451,1.0,1.0,1.0,1.0,-283.9485168457031,0.007801522966474295,0.003354331711307168,0.5974651575088501
14,1144,145.33004760742188,2.061129093170166,69.01317596435547,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.09803921568627451,1.0,0.0,1.0,0.0,-283.9485168457031,0.007801522966474295,0.003354331711307168,0.5974651575088501
15,1142,144.01132202148438,2.930774211883545,68.72643280029297,0.047058823529411764,0.03529411764705882,0.03137254901960784,0.09803921568627451,0.0,1.0,0.0,1.0,-283.9485168457031,0.007801522966474295,0.003354331711307168,0.5974651575088501
